,Landfall,Days,MaxWind,MinWind,AWind
188,0.0,4.0,70.0,40.0,61.25
189,0.0,5.0,100.0,40.0,76.42857142857143
190,1.0,38.0,90.0,40.0,66.06060606060606
191,0.0,257.0,60.0,40.0,52.5
192,0.0,4.0,70.0,40.0,57.5
193,1.0,6.0,100.0,40.0,61.875
194,1.0,10.0,90.0,30.0,63.2
195,1.0,35.0,110.0,30.0,75.71428571428571
196,1.0,6.0,50.0,30.0,42.857142857142854
197,1.0,15.0,50.0,30.0,46.06060606060606
198,1.0,25.0,70.0,40.0,53.6
199,0.0,216.0,90.0,50.0,69.375
200,1.0,44.0,40.0,30.0,38.94736842105263
201,1.0,11.0,130.0,30.0,72.44444444444444
202,0.0,9.0,80.0,40.0,53.333333333333336
203,1.0,2.0,90.0,30.0,68.37837837837837
204,0.0,11.0,80.0,50.0,67.0
205,1.0,2.0,70.0,40.0,54.61538461538461
206,0.0,19.0,80.0,50.0,66.66666666666667
207,0.0,8.0,120.0,50.0,88.125
208,1.0,5.0,70.0,40.0,60.0
209,0.0,10.0,80.0,60.0,71.42857142857143
210,1.0,285.0,60.0,40.0,49.5
211,1.0,10.0,50.0,30.0,41.333333333333336
212,1.0,0.0,40.0,30.0,37.333333333333336
213,0.0,5.0,80.0,60.0,72.5
214,0.0,5.0,70.0,40.0,54.166666666666664
215,1.0,17.0,90.0,30.0,67.29729729729729
216,1.0,11.0,90.0,50.0,69.04761904761905
217,0.0,340.0,60.0,40.0,49.642857142857146
218,0.0,9.0,70.0,70.0,70.0
219,1.0,12.0,110.0,40.0,70.2127659574468
220,1.0,7.0,50.0,30.0,40.5
221,1.0,3.0,50.0,40.0,41.875
222,0.0,11.0,70.0,50.0,65.0
223,1.0,317.0,120.0,40.0,67.33333333333333
224,0.0,6.0,80.0,40.0,62.27272727272727
225,0.0,11.0,110.0,70.0,81.25
226,1.0,48.0,110.0,30.0,83.58974358974359
227,0.0,315.0,70.0,40.0,52.857142857142854
228,0.0,2.0,70.0,50.0,58.333333333333336
229,0.0,7.0,100.0,40.0,75.0
230,1.0,27.0,80.0,30.0,58.22222222222222
231,0.0,304.0,90.0,40.0,66.5909090909091
232,0.0,14.0,80.0,40.0,61.666666666666664
233,1.0,8.0,90.0,40.0,67.5
234,1.0,19.0,50.0,40.0,44.61538461538461
235,1.0,1.0,80.0,40.0,52.41379310344828
236,0.0,6.0,70.0,50.0,63.75
237,1.0,2.0,70.0,30.0,46.21621621621622
238,0.0,14.0,80.0,50.0,58.75
239,1.0,246.0,60.0,40.0,45.88235294117647
240,1.0,4.0,85.0,30.0,54.583333333333336
241,1.0,10.0,85.0,30.0,54.696969696969695
242,1.0,17.0,85.0,35.0,62.608695652173914
243,1.0,29.0,75.0,35.0,61.02272727272727
244,1.0,3.0,130.0,25.0,74.75
245,0.0,5.0,105.0,55.0,83.65384615384616
246,0.0,27.0,100.0,40.0,72.5
247,0.0,6.0,85.0,30.0,60.416666666666664
248,0.0,16.0,85.0,35.0,76.52777777777777
249,1.0,2.0,105.0,35.0,75.6
250,0.0,11.0,45.0,35.0,40.416666666666664
251,0.0,206.0,60.0,35.0,46.42857142857143
252,0.0,2.0,60.0,35.0,44.77272727272727
253,0.0,25.0,50.0,35.0,43.0
254,1.0,39.0,35.0,30.0,33.333333333333336
255,1.0,10.0,85.0,30.0,72.43243243243244
256,0.0,15.0,50.0,35.0,42.638888888888886
257,0.0,4.0,105.0,35.0,71.44736842105263
258,0.0,14.0,110.0,35.0,85.25641025641026
259,0.0,10.0,90.0,35.0,66.30434782608695
260,1.0,3.0,85.0,30.0,74.46808510638297
261,0.0,22.0,70.0,35.0,58.23529411764706
262,0.0,2.0,50.0,30.0,43.63636363636363
263,0.0,1.0,60.0,40.0,51.875
264,0.0,1.0,75.0,30.0,61.509433962264154
265,0.0,5.0,75.0,35.0,60.90909090909091
266,0.0,14.0,90.0,25.0,67.5
267,1.0,29.0,70.0,35.0,55.142857142857146
268,0.0,7.0,70.0,35.0,55.0
269,0.0,3.0,70.0,35.0,54.23076923076923
270,0.0,192.0,50.0,25.0,44.130434782608695
271,1.0,18.0,70.0,25.0,45.833333333333336
272,1.0,41.0,50.0,30.0,42.5
273,1.0,17.0,110.0,35.0,68.4090909090909
274,0.0,6.0,110.0,35.0,78.82352941176471
275,1.0,17.0,50.0,35.0,38.392857142857146
276,1.0,15.0,70.0,35.0,50.55555555555556
